,Date,Close,Volume,Open,High,Low,MACD,RSI,ROC,CCI,MassIndex,%K,%D,5 day,10 day,20 day
724,2011/07/29,7.34,20857780.0,7.32,7.49,7.21,0.040102156948985446,8.776991945622242,13.975155279503095,55.739128351320474,25.120381969834817,70.22471910112358,74.90636704119812,-10.626702997275208,-15.39509536784741,-11.580381471389641
725,2011/08/01,7.22,23189880.0,7.54,7.58,7.1,0.0403070195953088,8.201481332073342,12.286158631415242,46.82026167779159,25.27858262788846,63.48314606741572,69.47565543071123,-17.72853185595567,-10.941828254847646,-5.401662049861492
726,2011/08/02,7.11,33139930.0,7.18,7.24,6.87,0.03123325648806663,7.660538209150957,15.048543689320399,15.877526921273205,25.50350339550411,57.30337078651687,63.670411985018355,-13.080168776371314,-10.829817158931089,-3.797468354430386
727,2011/08/03,7.16,31579420.0,7.06,7.23,6.84,0.027756852270278465,7.459357157220651,10.493827160493822,16.04772697453813,25.74418028491785,60.1123595505618,60.29962546816443,-18.29608938547487,-14.24581005586593,-4.6089385474860345
728,2011/08/04,6.5,34734510.0,7.05,7.05,6.5,-0.027932716302294658,6.963649035471391,-1.5151515151515098,-35.02363977642157,26.009541982633714,23.033707865168545,46.8164794007487,-5.076923076923078,-10.923076923076923,2.7692307692307647
729,2011/08/05,6.56,39379350.0,6.59,6.75,6.16,-0.06645949833149167,6.8717535424062675,0.9230769230769171,-57.08265656901964,26.313852337296645,23.391812865497045,35.51262676040876,-5.335365853658532,-8.841463414634134,-3.6585365853658436
730,2011/08/08,5.94,41205290.0,6.03,6.25,5.9,-0.14534561532494816,6.412388542004962,-23.354838709677413,-105.76446852895805,26.508837718832776,2.0304568527918803,16.151992527818788,8.249158249158237,1.851851851851842,5.555555555555541
731,2011/08/09,6.18,25312100.0,6.08,6.19,5.79,-0.18634931820785816,7.473053886758223,-19.00393184796855,-95.66633405218151,26.74631082275674,18.749999999999982,14.724089906095934,2.588996763754048,5.177993527508096,9.385113268608416
732,2011/08/10,5.85,35363910.0,5.63,6.19,5.6,-0.24267587382030342,6.976504174588271,-23.62924281984335,-105.6898513390199,27.079128879173663,11.013215859030835,10.597890903940531,4.957264957264958,8.37606837606838,16.41025641025641
733,2011/08/11,6.17,25932770.0,5.93,6.26,5.87,-0.25851376355859745,8.466603436977536,-17.842876165113182,-76.82403919531012,27.3521162432852,25.110132158590314,18.29111600587334,-6.158833063209075,3.2414910858995163,5.672609400324143
734,2011/08/12,6.21,15587880.0,6.31,6.42,6.18,-0.26478545764348826,8.151348188185494,-16.30727762803234,-56.66590890407617,27.527597174626685,26.87224669603525,20.998531571218432,-3.7037037037036966,4.50885668276973,8.051529790660226
735,2011/08/15,6.43,11475850.0,6.28,6.4527,6.22,-0.2491318224377066,8.935501669919233,-12.397820163487742,-47.300139599106124,27.623389330972813,39.33649289099526,30.43962391520657,-5.9097978227060635,6.220839813374812,8.242612752721621
736,2011/08/16,6.34,16353170.0,6.36,6.4325,6.18,-0.2412079564224916,8.350548939204302,-12.188365650969528,-51.87436745522279,27.457619157451195,36.45320197044335,34.22064718582425,2.5236593059936934,7.886435331230284,13.722397476340694
737,2011/08/17,6.14,15248110.0,6.41,6.47,6.08,-0.2482054066222803,7.800609278932086,-13.642756680731372,-58.657502932696396,27.33406361689606,27.27272727272727,34.35414071138826,3.257328990228016,11.23778501628665,19.462540716612384
738,2011/08/18,5.79,27199920.0,5.9,5.96,5.64,-0.27877941567770215,7.284008404399216,-19.134078212290504,-95.50491567867853,27.20519902425124,9.595959595959613,24.440629613043043,10.017271157167531,15.371329879101895,24.35233160621762
739,2011/08/19,5.98,37995160.0,5.72,6.085,5.71,-0.2843997428216616,7.9632416531341335,-7.999999999999993,-74.84648698621479,27.178179969766706,23.170731707317113,20.0131395253343,8.52842809364548,5.685618729096987,15.71906354515049
740,2011/08/22,6.05,18433400.0,6.13,6.18,5.95,-0.27997806473990305,7.863163373497329,-7.774390243902436,-55.57222125543396,27.001189311817082,27.60736196319018,20.12468442215527,12.89256198347108,3.6363636363636322,11.404958677685958
741,2011/08/23,6.5,31113800.0,6.08,6.5,5.8869,-0.23742571792667366,10.022520883365686,9.42760942760942,-25.508886163801556,26.92636116097216,62.068965517241395,37.615686395915866,5.230769230769228,3.9999999999999964,-0.30769230769230116
742,2011/08/24,6.34,17181370.0,6.5,6.51,6.16,-0.2141448112447799,9.373732556196416,2.588996763754048,-15.12204221816685,26.87501110165581,64.34782608695652,51.341384522462334,7.728706624605682,7.413249211356463,-3.4700315457413216
743,2011/08/25,6.37,27367020.0,6.32,6.7,6.29,-0.1910712255396536,8.940880133392582,8.888888888888898,7.0394862628660135,26.901788227803536,70.0,65.47226386806561,4.866562009419146,2.354788069073775,-3.1397174254317135
744,2011/08/26,6.49,17110710.0,6.3,6.6,6.22,-0.16124353046538253,9.069884912246891,5.186385737439227,12.709080996630785,26.603442294060113,80.90909090909092,71.75230566534879,-2.6194144838212625,3.389830508474572,-1.3867488443759608
745,2011/08/29,6.83,13491060.0,6.58,6.83,6.57,-0.1089142134645682,10.467005984689578,9.983896940418681,77.07094430246428,26.320550245040362,100.0,83.63636363636328,-8.199121522694004,1.9033674963396763,-4.9780380673499245
746,2011/08/30,6.84,17389290.0,6.76,6.93,6.69,-0.06587655241305157,9.850662949060052,6.376360808709178,100.54944750908795,26.101432710703605,93.0232558139535,91.31078224101445,-1.1695906432748548,5.409356725146201,-10.087719298245606
747,2011/08/31,6.83,26830110.0,6.84,6.94,6.75,-0.032204578057442035,9.211860547978546,7.728706624605682,115.6703968856057,25.88472808072945,91.53846153846152,94.85390578413798,-0.29282576866764953,7.393850658857978,-22.254758418740856
748,2011/09/01,6.68,15252460.0,6.83,6.87,6.67,-0.017422209795269872,8.610526918277046,8.794788273615636,92.20972739550142,25.677051094666986,79.99999999999996,88.1872391174713,-2.3952095808383254,7.7844311377245585,-23.952095808383227
749,2011/09/02,6.32,17933960.0,6.35,6.48,6.28,-0.03435998725601408,8.044968867680026,9.153713298791024,12.353016579157314,25.473387619175927,52.30769230769232,74.61538461538424,6.170886075949362,9.493670886075943,-28.322784810126585
750,2011/09/06,6.27,16298650.0,6.09,6.32,6.065,-0.051227362904678664,7.513503880564556,4.849498327759183,-20.66433749818956,25.197955639940087,48.46153846153843,60.256410256409886,11.004784688995223,7.4960127591706645,-24.720893141945773
